Symbol,Company Name,Exchange,Yr. High,Yr. Low,Close,Stop,Support,Volume,Avg Vol,Opinion,Score,C-Rate
AAPL,Apple Inc,NMS,182.94,116.21,172.19,168.15,178.73,1002088,959313,LONG,-1,0.0
ABC,Amerisourcebergen,NYSE,135.26,100.71,134.64,124.98,0.00,10080,8040,LONG,0,0.0
ADBE,Adobe Systems,NMS,699.54,420.78,525.83,583.38,0.00,51764,40117,AVOID,0,-8.9
ADSK,Autodesk Inc,NMS,344.39,245.05,262.39,280.50,0.00,16133,12132,AVOID,0,-3.6
ALGN,Align Technology,NMS,737.45,494.45,548.91,580.80,0.00,13047,6269,NEUTRAL,-3,0.0
ALK,Alaska Air Group,NYSE,74.25,46.26,55.10,49.36,50.43,17832,17876,LONG,0,8.1
ALL,Allstate Corp,NYSE,140.00,102.55,123.54,115.69,122.16,25828,18852,NEUTRAL,3,0.0
AMAT,Applied Materials In,NMS,163.02,96.07,149.59,144.64,146.37,90136,57213,LONG,0,0.0
AN,Autonation,NYSE,133.48,70.64,116.36,118.89,0.00,7187,9099,AVOID,0,-7.0
ANSS,Ansys,NMS,413.89,292.79,363.18,413.72,343.53,4810,3291,AVOID,0,-5.4
ASML,A S M L Holding N Y,NMS,895.93,501.11,727.17,817.80,748.80,19587,8652,AVOID,0,-2.4
ATVI,Activision Blizzard,NMS,104.53,56.40,63.11,61.82,0.00,123644,106223,NEUTRAL,3,0.0
AVGO,Broadcom Ltd,NMS,677.76,419.14,621.16,620.19,597.58,29352,25654,LONG,0,0.0
BA,Boeing Co,NYSE,278.57,185.26,209.31,191.02,0.00,81245,90101,LONG,0,4.6
BLK,Blackrock Incorporat,NYSE,973.16,670.28,873.34,929.56,901.03,7486,4656,AVOID,0,-0.7
BLL,Ball Corp,NYSE,98.09,77.95,89.94,90.68,90.32,11688,16422,NEUTRAL,-3,0.0
CC,Chemours Co (The),NYSE,38.87,23.30,35.07,30.61,0.00,10851,13123,LONG,0,6.1
CDNS,Cadence Design Sys,NMS,192.70,118.11,165.88,176.38,0.00,20334,13851,NEUTRAL,-4,0.0
CLF,Cliffs Natural Resources Inc.,NYSE,26.51,12.77,22.65,21.91,20.15,145556,163057,NEUTRAL,3,0.0
CRM,Salesforce.com Inc,NYSE,311.75,201.51,229.63,261.28,235.68,76677,61182,AVOID,0,-4.1
