ticker,open,high,low,close,volume,date
ADBE,16.125,16.145,15.52,15.525,3769200,2001-12-31
ADBE,15.57,16.0,15.095,15.92,6320600,2002-01-02
ADBE,15.91,16.775,15.5,16.54,6766600,2002-01-03
ADBE,18.055,18.47,17.56,17.95,16557800,2002-01-04
ADBE,18.375,18.625,17.89,18.08,7604000,2002-01-07
ADBE,18.09,18.565,17.72,18.32,5666800,2002-01-08
ADBE,18.58,19.6,18.41,18.815,11211000,2002-01-09
ADBE,18.775,18.975,18.045,18.225,7936400,2002-01-10
ADBE,18.23,18.595,17.75,18.015,6613200,2002-01-11
ADBE,17.865,18.05,17.45,17.8,6059000,2002-01-14
ADBE,17.75,18.45,17.75,18.135,7610000,2002-01-15
ADBE,17.895,18.135,17.525,17.55,7568400,2002-01-16
ADBE,17.73,18.15,17.7,17.975,7506000,2002-01-17
ADBE,17.475,17.78,17.105,17.29,6183600,2002-01-18
ADBE,17.385,17.4,16.85,17.02,5932000,2002-01-22
ADBE,17.1,17.58,16.93,17.34,4872800,2002-01-23
ADBE,17.5,18.075,17.41,17.92,5718800,2002-01-24
ADBE,17.745,17.775,16.95,17.045,6945800,2002-01-25
ADBE,17.365,17.695,17.275,17.585,7497600,2002-01-28
ADBE,17.975,18.165,17.3,17.575,9107000,2002-01-29
ADBE,17.59,17.65,16.62,17.065,8094200,2002-01-30
ADBE,17.155,17.225,16.755,16.85,6263600,2002-01-31
ADBE,17.55,18.65,17.5,17.965,14064600,2002-02-01
ADBE,17.95,18.135,17.22,17.445,5966400,2002-02-04
ADBE,17.335,18.05,17.295,17.355,7168800,2002-02-05
ADBE,17.555,17.675,16.83,16.97,5288800,2002-02-06
ADBE,17.0,17.47,16.51,16.9,6868600,2002-02-07
ADBE,17.025,17.915,17.0,17.9,4220600,2002-02-08
ADBE,17.805,18.3,17.535,18.25,5572800,2002-02-11
ADBE,17.99,18.45,17.79,18.125,4280000,2002-02-12
ADBE,18.125,18.8,18.075,18.73,6425600,2002-02-13
ADBE,18.74,18.875,18.25,18.505,5822400,2002-02-14
ADBE,18.465,18.6,17.815,17.845,6719200,2002-02-15
ADBE,17.78,18.2,17.065,17.28,7398200,2002-02-19
ADBE,17.515,17.705,16.94,17.47,6567400,2002-02-20
ADBE,17.425,17.725,16.94,16.94,4972600,2002-02-21
ADBE,17.01,17.9,16.78,17.565,7550600,2002-02-22
ADBE,17.575,18.25,17.545,18.145,5696400,2002-02-25
ADBE,18.23,18.655,17.755,18.515,5648200,2002-02-26
ADBE,18.615,19.215,18.32,18.645,8060600,2002-02-27
ADBE,18.55,18.72,18.18,18.19,5443600,2002-02-28
ADBE,18.425,19.275,18.345,19.27,5847800,2002-03-01
ADBE,19.275,20.5,19.125,20.48,11305600,2002-03-04
ADBE,20.375,20.375,19.575,19.99,6674600,2002-03-05
ADBE,19.73,20.17,19.41,20.17,6983600,2002-03-06
ADBE,20.165,20.25,19.295,19.4,8463800,2002-03-07
ADBE,19.775,20.495,19.36,19.525,8101400,2002-03-08
ADBE,19.655,20.375,19.475,20.17,7774400,2002-03-11
ADBE,19.45,19.575,18.725,19.06,9651400,2002-03-12
ADBE,18.91,19.5,18.655,18.765,5694200,2002-03-13
ADBE,18.68,18.965,18.205,18.295,7182800,2002-03-14
ADBE,19.0,19.665,18.79,19.59,13468200,2002-03-15
ADBE,19.55,19.875,19.15,19.34,8115000,2002-03-18
ADBE,19.3,19.975,19.205,19.72,4861200,2002-03-19
ADBE,19.655,19.825,19.25,19.255,3919000,2002-03-20
ADBE,19.355,19.665,18.95,19.555,3734400,2002-03-21
ADBE,19.5,19.995,19.07,19.875,5342000,2002-03-22
ADBE,19.7,19.975,19.025,19.025,4975600,2002-03-25
ADBE,19.105,19.835,19.08,19.355,4279200,2002-03-26
ADBE,19.34,19.6,18.88,19.425,3745400,2002-03-27
ADBE,20.03,20.685,20.0,20.145,9659800,2002-03-28
ADBE,19.92,20.495,19.595,20.31,5711400,2002-04-01
ADBE,19.79,19.79,19.085,19.35,9138800,2002-04-02
ADBE,19.6,19.74,19.2,19.335,6514000,2002-04-03
ADBE,19.085,19.5,18.805,19.155,6598400,2002-04-04
ADBE,19.185,19.62,18.935,18.935,4972200,2002-04-05
ADBE,18.87,19.485,18.53,19.43,6066400,2002-04-08
ADBE,19.525,19.9,18.815,18.82,6188000,2002-04-09
ADBE,18.955,19.475,18.585,19.0,8460800,2002-04-10
ADBE,18.96,19.22,18.14,18.185,5492200,2002-04-11
ADBE,18.51,19.875,18.505,19.52,8763200,2002-04-12
ADBE,19.7,20.095,19.475,19.69,7525000,2002-04-15
ADBE,19.955,20.25,19.86,20.06,5715600,2002-04-16
ADBE,20.045,20.155,19.555,19.745,7777800,2002-04-17
ADBE,19.8,19.95,19.23,19.75,4730400,2002-04-18
ADBE,19.905,19.965,19.49,19.655,3385800,2002-04-19
ADBE,19.605,19.61,19.05,19.39,3070400,2002-04-22
ADBE,19.345,19.44,18.365,18.53,6779200,2002-04-23
ADBE,18.925,19.29,18.29,18.385,9626000,2002-04-24
ADBE,18.2,19.12,18.02,18.955,8642800,2002-04-25
ADBE,18.985,19.5,18.935,19.005,8826800,2002-04-26
ADBE,19.025,19.175,18.275,18.61,7898400,2002-04-29
ADBE,18.765,20.25,18.7,19.98,13450200,2002-04-30
ADBE,20.1,20.24,19.06,20.06,13949000,2002-05-01
ADBE,19.795,20.24,18.905,18.925,7719400,2002-05-02
ADBE,19.075,19.28,18.39,18.75,8884800,2002-05-03
ADBE,18.805,19.27,18.125,18.125,4638000,2002-05-06
ADBE,18.415,18.695,17.525,18.175,8918200,2002-05-07
ADBE,18.75,20.72,18.7,20.705,12146600,2002-05-08
ADBE,20.145,20.88,19.76,19.92,11683600,2002-05-09
ADBE,19.94,20.15,19.215,19.375,6905800,2002-05-10
ADBE,19.4,20.5,19.0,20.37,7018600,2002-05-13
ADBE,20.82,21.55,20.79,21.49,10529800,2002-05-14
ADBE,21.4,21.66,20.9,21.025,10814200,2002-05-15
ADBE,20.85,20.975,20.525,20.85,6710400,2002-05-16
ADBE,21.04,21.16,19.925,20.55,10014800,2002-05-17
ADBE,20.425,20.425,19.215,19.53,9919000,2002-05-20
ADBE,19.675,19.87,18.1,18.575,12248800,2002-05-21
ADBE,18.23,18.755,17.78,18.47,10477200,2002-05-22
ADBE,18.575,18.695,17.95,18.555,8259200,2002-05-23
ADBE,18.35,19.075,18.32,18.835,7631600,2002-05-24
ADBE,19.15,19.15,18.005,18.335,5233000,2002-05-28
ADBE,18.31,18.35,17.895,17.925,6892200,2002-05-29
ADBE,17.87,18.595,17.825,18.265,8701000,2002-05-30
ADBE,18.55,18.805,18.0,18.05,5854000,2002-05-31
ADBE,18.005,18.325,17.535,17.65,6617800,2002-06-03
ADBE,17.695,18.21,17.55,17.92,7472000,2002-06-04
ADBE,18.0,18.345,17.63,18.185,7323200,2002-06-05
ADBE,18.1,18.18,17.5,17.6,7814600,2002-06-06
ADBE,17.405,18.165,17.27,17.94,9794600,2002-06-07
ADBE,18.07,19.515,17.96,18.795,12626400,2002-06-10
ADBE,19.055,19.415,18.495,18.535,8904200,2002-06-11
ADBE,18.275,18.8,17.865,18.655,8952600,2002-06-12
ADBE,18.645,18.695,18.05,18.095,11448400,2002-06-13
ADBE,16.32,16.32,15.53,15.685,34727400,2002-06-14
ADBE,15.825,15.84,14.825,14.865,19467400,2002-06-17
ADBE,14.865,15.49,14.84,15.045,14654600,2002-06-18
ADBE,15.01,15.06,13.54,13.54,23265000,2002-06-19
ADBE,13.675,14.15,13.57,13.9,12111800,2002-06-20
ADBE,13.5,13.755,13.075,13.21,16155200,2002-06-21
ADBE,13.045,14.225,13.03,13.575,8902800,2002-06-24
ADBE,13.925,14.625,13.655,13.74,11727400,2002-06-25
ADBE,13.18,13.99,13.05,13.8,12236600,2002-06-26
ADBE,14.325,14.41,13.28,13.945,10646600,2002-06-27
ADBE,13.675,14.58,13.67,14.25,8687600,2002-06-28
ADBE,14.305,14.425,13.4,13.5,7553800,2002-07-01
ADBE,13.405,13.575,12.73,13.205,9162400,2002-07-02
ADBE,13.14,13.575,12.795,13.52,5855600,2002-07-03
ADBE,13.725,14.4,13.72,14.315,4404200,2002-07-05
ADBE,14.145,14.49,13.725,13.825,5032800,2002-07-08
ADBE,13.745,13.985,13.5,13.61,5566400,2002-07-09
ADBE,13.705,14.13,13.22,13.285,7886400,2002-07-10
ADBE,12.355,13.01,11.88,12.88,15291600,2002-07-11
ADBE,13.05,13.37,12.565,12.78,10542600,2002-07-12
ADBE,12.595,13.35,12.295,13.245,10187400,2002-07-15
ADBE,13.165,14.0,13.02,13.285,8424400,2002-07-16
ADBE,13.675,13.9,13.25,13.44,7836400,2002-07-17
ADBE,13.37,13.56,12.89,12.935,5890400,2002-07-18
ADBE,12.8,12.925,12.145,12.195,8239000,2002-07-19
ADBE,12.255,12.58,11.745,12.275,8876000,2002-07-22
ADBE,12.205,12.615,11.79,11.95,7278800,2002-07-23
ADBE,11.75,12.885,11.7,12.83,10469800,2002-07-24
ADBE,12.55,12.75,11.515,11.715,9611000,2002-07-25
ADBE,11.75,12.38,11.55,12.245,6008200,2002-07-26
ADBE,12.4,12.915,12.245,12.805,5878200,2002-07-29
ADBE,12.625,12.75,12.155,12.47,7385000,2002-07-30
ADBE,12.28,12.375,11.86,11.98,8831600,2002-07-31
ADBE,9.17,9.18,8.375,8.415,47625000,2002-08-01
ADBE,8.605,8.825,8.415,8.725,16076800,2002-08-02
ADBE,8.86,8.95,8.245,8.35,8884000,2002-08-05
ADBE,8.53,8.75,8.45,8.695,9637600,2002-08-06
ADBE,8.805,8.915,8.285,8.81,8754800,2002-08-07
